Freq.	V(vout)/V(vin)
1.27662766276627e+008	(1.73829313591341e+001dB,1.75803128613755e+002°)
1.27700270027002e+008	(1.73829158714599e+001dB,1.75801589607803e+002°)
1.27737773777377e+008	(1.73829003795090e+001dB,1.75800050710925e+002°)
1.27775277527752e+008	(1.73828848832812e+001dB,1.75798511923025e+002°)
1.27812781278127e+008	(1.73828693827775e+001dB,1.75796973244044e+002°)
1.27850285028502e+008	(1.73828538779982e+001dB,1.75795434673883e+002°)
1.27887788778878e+008	(1.73828383689449e+001dB,1.75793896212467e+002°)
1.27925292529253e+008	(1.73828228556169e+001dB,1.75792357859726e+002°)
1.27962796279628e+008	(1.73828073380154e+001dB,1.75790819615549e+002°)
1.28000300030003e+008	(1.73827918161411e+001dB,1.75789281479915e+002°)
1.28037803780378e+008	(1.73827762899945e+001dB,1.75787743452698e+002°)
1.28075307530753e+008	(1.73827607595762e+001dB,1.75786205533839e+002°)
1.28112811281128e+008	(1.73827452248867e+001dB,1.75784667723234e+002°)
1.28150315031503e+008	(1.73827296859272e+001dB,1.75783130020828e+002°)
1.28187818781878e+008	(1.73827141426973e+001dB,1.75781592426541e+002°)
1.28225322532253e+008	(1.73826985951989e+001dB,1.75780054940284e+002°)
1.28262826282628e+008	(1.73826830434311e+001dB,1.75778517561978e+002°)
1.28300330033003e+008	(1.73826674873955e+001dB,1.75776980291553e+002°)
1.28337833783378e+008	(1.73826519270926e+001dB,1.75775443128927e+002°)
1.28375337533753e+008	(1.73826363625229e+001dB,1.75773906074008e+002°)
1.28412841284128e+008	(1.73826207936871e+001dB,1.75772369126743e+002°)
1.28450345034503e+008	(1.73826052205855e+001dB,1.75770832287039e+002°)
1.28487848784878e+008	(1.73825896432192e+001dB,1.75769295554814e+002°)
1.28525352535253e+008	(1.73825740615885e+001dB,1.75767758929998e+002°)
1.28562856285628e+008	(1.73825584756943e+001dB,1.75766222412512e+002°)
1.28600360036003e+008	(1.73825428855370e+001dB,1.75764686002270e+002°)
1.28637863786378e+008	(1.73825272911172e+001dB,1.75763149699213e+002°)
1.28675367536753e+008	(1.73825116924351e+001dB,1.75761613503246e+002°)
1.28712871287128e+008	(1.73824960894918e+001dB,1.75760077414285e+002°)
1.28750375037503e+008	(1.73824804822880e+001dB,1.75758541432265e+002°)
1.28787878787878e+008	(1.73824648708240e+001dB,1.75757005557125e+002°)
1.28825382538253e+008	(1.73824492551009e+001dB,1.75755469788751e+002°)
1.28862886288628e+008	(1.73824336351184e+001dB,1.75753934127085e+002°)
1.28900390039003e+008	(1.73824180108780e+001dB,1.75752398572064e+002°)
1.28937893789378e+008	(1.73824023823800e+001dB,1.75750863123583e+002°)
1.28975397539753e+008	(1.73823867496250e+001dB,1.75749327781585e+002°)
1.29012901290128e+008	(1.73823711126133e+001dB,1.75747792545977e+002°)
1.29050405040504e+008	(1.73823554713463e+001dB,1.75746257416699e+002°)
1.29087908790879e+008	(1.73823398258237e+001dB,1.75744722393668e+002°)
1.29125412541254e+008	(1.73823241760466e+001dB,1.75743187476803e+002°)
1.29162916291629e+008	(1.73823085220154e+001dB,1.75741652666027e+002°)
1.29200420042004e+008	(1.73822928637311e+001dB,1.75740117961270e+002°)
1.29237923792379e+008	(1.73822772011937e+001dB,1.75738583362444e+002°)
1.29275427542754e+008	(1.73822615344044e+001dB,1.75737048869484e+002°)
1.29312931293129e+008	(1.73822458633637e+001dB,1.75735514482322e+002°)
1.29350435043504e+008	(1.73822301880715e+001dB,1.75733980200868e+002°)
1.29387938793879e+008	(1.73822145085295e+001dB,1.75732446025043e+002°)
1.29425442544254e+008	(1.73821988247375e+001dB,1.75730911954773e+002°)
1.29462946294629e+008	(1.73821831366964e+001dB,1.75729377989989e+002°)
1.29500450045004e+008	(1.73821674444069e+001dB,1.75727844130619e+002°)
1.29537953795379e+008	(1.73821517478694e+001dB,1.75726310376574e+002°)
1.29575457545754e+008	(1.73821360470843e+001dB,1.75724776727793e+002°)
1.29612961296129e+008	(1.73821203420531e+001dB,1.75723243184182e+002°)
1.29650465046504e+008	(1.73821046327754e+001dB,1.75721709745686e+002°)
1.29687968796879e+008	(1.73820889192519e+001dB,1.75720176412210e+002°)
1.29725472547254e+008	(1.73820732014841e+001dB,1.75718643183702e+002°)
1.29762976297629e+008	(1.73820574794720e+001dB,1.75717110060064e+002°)
1.29800480048004e+008	(1.73820417532159e+001dB,1.75715577041233e+002°)
1.29837983798379e+008	(1.73820260227172e+001dB,1.75714044127131e+002°)
1.29875487548754e+008	(1.73820102879757e+001dB,1.75712511317685e+002°)
1.29912991299129e+008	(1.73819945489919e+001dB,1.75710978612826e+002°)
1.29950495049504e+008	(1.73819788057672e+001dB,1.75709446012469e+002°)
1.29987998799879e+008	(1.73819630583024e+001dB,1.75707913516531e+002°)
1.30025502550254e+008	(1.73819473065969e+001dB,1.75706381124965e+002°)
1.30063006300629e+008	(1.73819315506515e+001dB,1.75704848837670e+002°)
1.30100510051004e+008	(1.73819157904681e+001dB,1.75703316654590e+002°)
1.30138013801379e+008	(1.73819000260463e+001dB,1.75701784575648e+002°)
1.30175517551754e+008	(1.73818842573867e+001dB,1.75700252600754e+002°)
1.30213021302130e+008	(1.73818684844898e+001dB,1.75698720729856e+002°)
1.30250525052505e+008	(1.73818527073569e+001dB,1.75697188962861e+002°)
1.30288028802880e+008	(1.73818369259879e+001dB,1.75695657299708e+002°)
1.30325532553255e+008	(1.73818211403838e+001dB,1.75694125740321e+002°)
1.30363036303630e+008	(1.73818053505450e+001dB,1.75692594284631e+002°)
1.30400540054005e+008	(1.73817895564724e+001dB,1.75691062932545e+002°)
1.30438043804380e+008	(1.73817737581660e+001dB,1.75689531684010e+002°)
1.30475547554755e+008	(1.73817579556270e+001dB,1.75688000538945e+002°)
1.30513051305130e+008	(1.73817421488557e+001dB,1.75686469497267e+002°)
1.30550555055505e+008	(1.73817263378528e+001dB,1.75684938558924e+002°)
1.30588058805880e+008	(1.73817105226190e+001dB,1.75683407723824e+002°)
1.30625562556255e+008	(1.73816947031545e+001dB,1.75681876991912e+002°)
1.30663066306630e+008	(1.73816788794597e+001dB,1.75680346363093e+002°)
1.30700570057005e+008	(1.73816630515367e+001dB,1.75678815837306e+002°)
1.30738073807380e+008	(1.73816472193845e+001dB,1.75677285414485e+002°)
1.30775577557755e+008	(1.73816313830043e+001dB,1.75675755094540e+002°)
1.30813081308130e+008	(1.73816155423970e+001dB,1.75674224877417e+002°)
1.30850585058505e+008	(1.73815996975626e+001dB,1.75672694763027e+002°)
1.30888088808880e+008	(1.73815838485021e+001dB,1.75671164751316e+002°)
1.30925592559255e+008	(1.73815679952157e+001dB,1.75669634842195e+002°)
1.30963096309630e+008	(1.73815521377046e+001dB,1.75668105035595e+002°)
1.31000600060005e+008	(1.73815362759688e+001dB,1.75666575331452e+002°)
1.31038103810380e+008	(1.73815204100092e+001dB,1.75665045729682e+002°)
1.31075607560755e+008	(1.73815045398262e+001dB,1.75663516230225e+002°)
1.31113111311130e+008	(1.73814886654211e+001dB,1.75661986832998e+002°)
1.31150615061505e+008	(1.73814727867935e+001dB,1.75660457537944e+002°)
1.31188118811880e+008	(1.73814569039444e+001dB,1.75658928344973e+002°)
1.31225622562255e+008	(1.73814410168749e+001dB,1.75657399254019e+002°)
1.31263126312630e+008	(1.73814251255847e+001dB,1.75655870265019e+002°)
1.31300630063005e+008	(1.73814092300753e+001dB,1.75654341377896e+002°)
1.31338133813380e+008	(1.73813933303465e+001dB,1.75652812592583e+002°)
1.31375637563756e+008	(1.73813774263992e+001dB,1.75651283909004e+002°)
1.31413141314131e+008	(1.73813615182348e+001dB,1.75649755327078e+002°)
1.31450645064506e+008	(1.73813456058521e+001dB,1.75648226846750e+002°)
1.31488148814881e+008	(1.73813296892531e+001dB,1.75646698467947e+002°)
1.31525652565256e+008	(1.73813137684380e+001dB,1.75645170190589e+002°)
1.31563156315631e+008	(1.73812978434079e+001dB,1.75643642014610e+002°)
1.31600660066006e+008	(1.73812819141621e+001dB,1.75642113939940e+002°)
1.31638163816381e+008	(1.73812659807026e+001dB,1.75640585966492e+002°)
1.31675667566756e+008	(1.73812500430297e+001dB,1.75639058094241e+002°)
1.31713171317131e+008	(1.73812341011432e+001dB,1.75637530323075e+002°)
1.31750675067506e+008	(1.73812181550439e+001dB,1.75636002652927e+002°)
1.31788178817881e+008	(1.73812022047335e+001dB,1.75634475083734e+002°)
1.31825682568256e+008	(1.73811862502112e+001dB,1.75632947615433e+002°)
1.31863186318631e+008	(1.73811702914782e+001dB,1.75631420247943e+002°)
1.31900690069006e+008	(1.73811543285354e+001dB,1.75629892981194e+002°)
1.31938193819381e+008	(1.73811383613829e+001dB,1.75628365815122e+002°)
1.31975697569756e+008	(1.73811223900217e+001dB,1.75626838749649e+002°)
