Freq.	V(vout2)/V(vin)
1.27025202520252e+008	(4.47745578523546e+001dB,-2.23306983259740e+001°)
1.27062706270627e+008	(4.47742781336092e+001dB,-2.23374182737956e+001°)
1.27100210021002e+008	(4.47739983527680e+001dB,-2.23441376844049e+001°)
1.27137713771377e+008	(4.47737185098522e+001dB,-2.23508565577103e+001°)
1.27175217521752e+008	(4.47734386048695e+001dB,-2.23575748939643e+001°)
1.27212721272127e+008	(4.47731586378394e+001dB,-2.23642926933354e+001°)
1.27250225022502e+008	(4.47728786087780e+001dB,-2.23710099557524e+001°)
1.27287728772877e+008	(4.47725985177063e+001dB,-2.23777266813398e+001°)
1.27325232523252e+008	(4.47723183646310e+001dB,-2.23844428702805e+001°)
1.27362736273627e+008	(4.47720381495711e+001dB,-2.23911585226307e+001°)
1.27400240024002e+008	(4.47717578725436e+001dB,-2.23978736385187e+001°)
1.27437743774377e+008	(4.47714775335655e+001dB,-2.24045882179615e+001°)
1.27475247524752e+008	(4.47711971326487e+001dB,-2.24113022611248e+001°)
1.27512751275127e+008	(4.47709166698157e+001dB,-2.24180157680675e+001°)
1.27550255025502e+008	(4.47706361450756e+001dB,-2.24247287389580e+001°)
1.27587758775877e+008	(4.47703555584489e+001dB,-2.24314411738105e+001°)
1.27625262526252e+008	(4.47700749099469e+001dB,-2.24381530726965e+001°)
1.27662766276627e+008	(4.47697941995910e+001dB,-2.24448644358082e+001°)
1.27700270027002e+008	(4.47695134273897e+001dB,-2.24515752632462e+001°)
1.27737773777377e+008	(4.47692325933691e+001dB,-2.24582855549670e+001°)
1.27775277527752e+008	(4.47689516975351e+001dB,-2.24649953112137e+001°)
1.27812781278127e+008	(4.47686707399117e+001dB,-2.24717045320194e+001°)
1.27850285028502e+008	(4.47683897205075e+001dB,-2.24784132174810e+001°)
1.27887788778878e+008	(4.47681086393460e+001dB,-2.24851213677143e+001°)
1.27925292529253e+008	(4.47678274964373e+001dB,-2.24918289827294e+001°)
1.27962796279628e+008	(4.47675462917935e+001dB,-2.24985360628589e+001°)
1.28000300030003e+008	(4.47672650254396e+001dB,-2.25052426078936e+001°)
1.28037803780378e+008	(4.47669836973889e+001dB,-2.25119486180889e+001°)
1.28075307530753e+008	(4.47667023076553e+001dB,-2.25186540935147e+001°)
1.28112811281128e+008	(4.47664208562558e+001dB,-2.25253590342744e+001°)
1.28150315031503e+008	(4.47661393432054e+001dB,-2.25320634404688e+001°)
1.28187818781878e+008	(4.47658577685213e+001dB,-2.25387673121582e+001°)
1.28225322532253e+008	(4.47655761322166e+001dB,-2.25454706495525e+001°)
1.28262826282628e+008	(4.47652944343096e+001dB,-2.25521734525502e+001°)
1.28300330033003e+008	(4.47650126748148e+001dB,-2.25588757213823e+001°)
1.28337833783378e+008	(4.47647308537520e+001dB,-2.25655774560708e+001°)
1.28375337533753e+008	(4.47644489711313e+001dB,-2.25722786568197e+001°)
1.28412841284128e+008	(4.47641670269731e+001dB,-2.25789793235917e+001°)
1.28450345034503e+008	(4.47638850212897e+001dB,-2.25856794565400e+001°)
1.28487848784878e+008	(4.47636029541013e+001dB,-2.25923790557850e+001°)
1.28525352535253e+008	(4.47633208254200e+001dB,-2.25990781213635e+001°)
1.28562856285628e+008	(4.47630386352601e+001dB,-2.26057766534361e+001°)
