Freq.	V(vout)/V(vin)
1.27587758775877e+008	(1.74006117488921e+001dB,1.77104622461828e+002°)
1.27625262526252e+008	(1.74006127601269e+001dB,1.77103449437075e+002°)
1.27662766276627e+008	(1.74006137714036e+001dB,1.77102276508651e+002°)
1.27700270027002e+008	(1.74006147827970e+001dB,1.77101103676486e+002°)
1.27737773777377e+008	(1.74006157943014e+001dB,1.77099930940505e+002°)
1.27775277527752e+008	(1.74006168058916e+001dB,1.77098758300601e+002°)
1.27812781278127e+008	(1.74006178175776e+001dB,1.77097585756721e+002°)
1.27850285028502e+008	(1.74006188293667e+001dB,1.77096413308766e+002°)
1.27887788778878e+008	(1.74006198412898e+001dB,1.77095240956654e+002°)
1.27925292529253e+008	(1.74006208532644e+001dB,1.77094068700297e+002°)
1.27962796279628e+008	(1.74006218653887e+001dB,1.77092896539616e+002°)
1.28000300030003e+008	(1.74006228775942e+001dB,1.77091724474550e+002°)
1.28037803780378e+008	(1.74006238898724e+001dB,1.77090552504982e+002°)
1.28075307530753e+008	(1.74006249022832e+001dB,1.77089380630860e+002°)
1.28112811281128e+008	(1.74006259148233e+001dB,1.77088208852083e+002°)
1.28150315031503e+008	(1.74006269273927e+001dB,1.77087037168550e+002°)
1.28187818781878e+008	(1.74006279401343e+001dB,1.77085865580240e+002°)
1.28225322532253e+008	(1.74006289529146e+001dB,1.77084694086994e+002°)
1.28262826282628e+008	(1.74006299658415e+001dB,1.77083522688787e+002°)
1.28300330033003e+008	(1.74006309788609e+001dB,1.77082351385522e+002°)
1.28337833783378e+008	(1.74006319920031e+001dB,1.77081180177120e+002°)
1.28375337533753e+008	(1.74006330052271e+001dB,1.77080009063467e+002°)
1.28412841284128e+008	(1.74006340185500e+001dB,1.77078838044526e+002°)
1.28450345034503e+008	(1.74006350319891e+001dB,1.77077667120201e+002°)
1.28487848784878e+008	(1.74006360455357e+001dB,1.77076496290401e+002°)
1.28525352535253e+008	(1.74006370591647e+001dB,1.77075325555045e+002°)
1.28562856285628e+008	(1.74006380729386e+001dB,1.77074154914079e+002°)
